id;domandaDeploy;domandaDelivery;costs;timeToValueDeploy;regulatoryCompliance;control;governance;availability;customizability;timeToValueDelivery;migrationIntegration;contestoEconomico;contestoOrganizzativo;contestoTecnologico;contestoGiuridico;domanda;risposta;publicCloud;communityOnPremise;communityOffPremise;hybridCloud;privateOnPremise;privateOffPremise;noCloudFit;iaaS;paaS;saaS;bpaaS
91;true;false;true;true;false;false;true;false;false;false;false;false;true;false;false;Ci sono competenze architetturali per allestire un'infrastruttura Cloud privata?;si;0;1;0;0;1;0;0;;;;
92;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;Ci sono competenze architetturali per allestire un'infrastruttura Cloud privata?;no;1;0;0;0;0;0;0;;;;
93;false;true;false;false;false;false;false;false;true;false;false;false;true;true;false;Prevedo la possibilit… di apportare modifiche custom all'applicativo software?;si;;;;;;;;1;1;0;0
94;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Prevedo la possibilit… di apportare modifiche custom all'applicativo software?;no;;;;;;;;0;0;0;0
95;true;true;false;true;false;false;false;false;false;true;false;false;true;false;false;Desidero disporre di soluzioni software che implementano processi standard?;si;1;0;0;0;0;0;0;0;0;1;1
96;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Desidero disporre di soluzioni software che implementano processi standard?;no;0;0;0;0;0;0;0;0;0;0;0
97;true;true;true;false;false;false;false;false;false;true;false;true;true;false;false;Desidero ottenere una soluzione software impiegando al minimo le risorse del dipartimento IT ?;si;1;0;1;0;0;1;0;0;0;1;1
98;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;Desidero ottenere una soluzione software impiegando al minimo le risorse del dipartimento IT ?;no;0;1;0;0;1;0;1;0;0;0;0
99;true;true;true;true;false;false;false;false;false;true;false;true;true;false;false;Devo migrare funzionalit… esistenti che siano tipicamente disponibili in Cloud senza la necessit… di customizzazioni?;si;1;0;0;0;0;0;0;0;0;1;1
100;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;Devo migrare funzionalit… esistenti che siano tipicamente disponibili in Cloud senza la necessit… di customizzazioni?;no;0;0;0;0;0;0;0;0;0;0;0
101;false;true;false;false;false;false;false;false;false;false;true;true;false;true;false;Devo migrare un applicativo esistente on-premises, sviluppato su una piattaforma software che trova una soluzione equivalente nel Cloud?;si;;;;;;;;0;1;0;0
102;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Devo migrare un applicativo esistente on-premises, sviluppato su una piattaforma software che trova una soluzione equivalente nel Cloud?;no;;;;;;;;0;0;0;0
103;false;true;false;false;false;false;false;false;false;false;true;false;true;true;false;Desidero evitare che agli utenti vengano proposte interfacce diverse da quelle a cui sono solitamente abituati?;si;;;;;;;;1;1;0;0
104;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Desidero evitare che agli utenti vengano proposte interfacce diverse da quelle a cui sono solitamente abituati?;no;;;;;;;;0;0;0;0
105;false;true;false;false;false;false;false;false;false;false;true;false;false;true;false;Si rende necessaria un'integrazione a livello presentation?;si;;;;;;;;0;0;1;1
106;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Si rende necessaria un'integrazione a livello presentation?;no;;;;;;;;0;0;0;0
107;false;true;false;false;false;false;false;false;false;false;true;false;false;true;false;Si rende necessaria un'integrazione a livello servizi?;si;;;;;;;;0;1;0;0
108;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Si rende necessaria un'integrazione a livello servizi?;no;;;;;;;;0;0;0;0
109;false;true;false;false;false;false;false;false;false;true;false;false;true;false;false;Ci sono competenze interne per lo sviluppo di soluzioni software?;si;;;;;;;;0;1;0;0
110;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Ci sono competenze interne per lo sviluppo di soluzioni software?;no;;;;;;;;0;0;0;0
111;false;true;false;false;false;false;false;false;false;true;false;false;true;false;false;Si intende coinvolgere il reparto ICT per gestire una infrastruttura fisica di elaborazione?;si;;;;;;;;1;0;0;0
112;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Si intende coinvolgere il reparto ICT per gestire una infrastruttura fisica di elaborazione?;no;;;;;;;;0;0;1;1
113;false;true;false;false;false;false;false;false;false;true;false;false;true;false;false;Si intendere coinvolgere il reparto ICT per gestire una piattaforma applicativa sulla quale sviluppare e eseguire le proprie applicazioni?;si;;;;;;;;0;1;0;0
114;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Si intendere coinvolgere il reparto ICT per gestire una piattaforma applicativa sulla quale sviluppare e eseguire le proprie applicazioni?;no;;;;;;;;0;0;1;1
115;false;true;false;false;false;false;false;false;false;true;false;false;true;false;false;Si intendere coinvolgere il reparto ICT per gestire la sola l?applicazione?;si;;;;;;;;0;0;1;1
116;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Si intendere coinvolgere il reparto ICT per gestire la sola l?applicazione?;no;;;;;;;;0;0;0;1
117;true;true;false;false;true;true;false;false;true;false;true;false;true;true;false;La mia applicazione ha la necessit… di essere distribuita tra ambiente on-premises ed off-premises?;si;0;0;0;1;0;0;0;0;1;0;0
118;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;La mia applicazione ha la necessit… di essere distribuita tra ambiente on-premises ed off-premises?;no;1;1;1;0;1;1;0;0;0;0;0
